name,serial,title,title score,firstName,name score,location,location score,length score,combo score,total score
The Wizard Empress,12,The Wizard Empress,169.74,,0.22,,0.29,152.60,340.04,662.88
The Red Witch,305,The Red Witch,169.74,,0.22,,0.29,152.60,340.04,662.88
The Color Master,1234,The Color Master,169.74,,0.22,,0.29,152.60,340.04,662.88
The Goblin King,1986,The Goblin King,169.74,,0.22,,0.29,152.60,340.04,662.88
The Grey Pilgrim,2000,The Grey Pilgrim,169.74,,0.22,,0.29,152.60,340.04,662.88
The Bird Tamer,3000,The Bird Tamer,169.74,,0.22,,0.29,152.60,340.04,662.88
The Darkness Slayer,4000,The Darkness Slayer,169.74,,0.22,,0.29,152.60,340.04,662.88
The East Helper,5000,The East Helper,169.74,,0.22,,0.29,152.60,340.04,662.88
Sage,9379,Sage,0.66,,0.22,,0.29,152.60,340.04,493.81
Archmagus,3069,Archmagus,0.16,,0.22,,0.29,152.60,340.04,493.30
of the Atheneum,7057,,0.30,,0.22,Atheneum,0.84,19.16,425.05,445.56
of Dreams,9259,,0.30,,0.22,Dreams,0.83,19.16,425.05,445.55
of the Wild,3960,,0.30,,0.22,Wild,0.60,19.16,425.05,445.32
of the Road,4675,,0.30,,0.22,Road,0.52,19.16,425.05,445.25
of the Road,9837,,0.30,,0.22,Road,0.52,19.16,425.05,445.25
of the Tower,7596,,0.30,,0.22,Tower,0.36,19.16,425.05,445.08
of the Desert,4567,,0.30,,0.22,Desert,0.32,19.16,425.05,445.05
of the Wood,3598,,0.30,,0.22,Wood,0.19,19.16,425.05,444.92
Cronus,365,,0.30,Cronus,21.06,,0.29,152.60,178.97,353.21
Merlin,540,,0.30,Merlin,21.06,,0.29,152.60,178.97,353.21
Sharkey,1000,,0.30,Sharkey,21.06,,0.29,152.60,178.97,353.21
Mephistopheles,1587,,0.30,Mephistopheles,21.06,,0.29,152.60,178.97,353.21
Aleister Crowley,1875,,0.30,Aleister Crowley,21.06,,0.29,152.60,178.97,353.21
Katherine,2793,,0.30,Katherine,1.05,,0.29,152.60,178.97,333.21
Zubin,6129,,0.30,Zubin,0.64,,0.29,152.60,178.97,332.79
Nikolas,7322,,0.30,Nikolas,0.57,,0.29,152.60,178.97,332.72
Zaros,3175,,0.30,Zaros,0.44,,0.29,152.60,178.97,332.59
Zelroth,4322,,0.30,Zelroth,0.41,,0.29,152.60,178.97,332.57
Jeldor,6351,,0.30,Jeldor,0.38,,0.29,152.60,178.97,332.54
Azahl,3090,,0.30,Azahl,0.34,,0.29,152.60,178.97,332.49
Udor,2661,,0.30,Udor,0.33,,0.29,152.60,178.97,332.49
Uvlius,3663,,0.30,Uvlius,0.32,,0.29,152.60,178.97,332.48
Solomon,1444,,0.30,Solomon,0.31,,0.29,152.60,178.97,332.46
Crowley,9600,,0.30,Crowley,0.30,,0.29,152.60,178.97,332.45
Aldus,9825,,0.30,Aldus,0.29,,0.29,152.60,178.97,332.45
Hadrien,9668,,0.30,Hadrien,0.27,,0.29,152.60,178.97,332.43
Soya,9412,,0.30,Soya,0.23,,0.29,152.60,178.97,332.38
