name,serial,link,title,title score,firstName,name score,origin,origin score,combo score,total score
of the Atheneum,7057,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/7057,,0.03,,0.03,Atheneum,0.86,31887.76,31888.68
of Dreams,9259,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/9259,,0.03,,0.03,Dreams,0.84,31887.76,31888.66
of the Wild,3960,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/3960,,0.03,,0.03,Wild,0.44,31887.76,31888.26
of the Road,4675,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/4675,,0.03,,0.03,Road,0.33,31887.76,31888.15
of the Road,9837,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/9837,,0.03,,0.03,Road,0.33,31887.76,31888.15
of the Tower,7596,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/7596,,0.03,,0.03,Tower,0.16,31887.76,31887.98
of the Desert,4567,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/4567,,0.03,,0.03,Desert,0.13,31887.76,31887.95
of the Wood,3598,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/3598,,0.03,,0.03,Wood,0.04,31887.76,31887.87
The Wizard Empress,12,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/12,The Wizard Empress,10412.33,,0.03,,0.10,16866.25,27278.71
The Red Witch,305,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/305,The Red Witch,10412.33,,0.03,,0.10,16866.25,27278.71
Sacred Key Master,777,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/777,Sacred Key Master,10412.33,,0.03,,0.10,16866.25,27278.71
The Color Master,1234,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/1234,The Color Master,10412.33,,0.03,,0.10,16866.25,27278.71
The Goblin King,1986,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/1986,The Goblin King,10412.33,,0.03,,0.10,16866.25,27278.71
The Grey Pilgrim,2000,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/2000,The Grey Pilgrim,10412.33,,0.03,,0.10,16866.25,27278.71
The Bird Tamer,3000,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/3000,The Bird Tamer,10412.33,,0.03,,0.10,16866.25,27278.71
The Darkness Slayer,4000,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/4000,The Darkness Slayer,10412.33,,0.03,,0.10,16866.25,27278.71
The East Helper,5000,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/5000,The East Helper,10412.33,,0.03,,0.10,16866.25,27278.71
The Witch of the West,1939,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/1939,The Witch,10412.33,,0.03,West,6503.64,335.44,17251.44
Sage,9379,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/9379,Sage,0.16,,0.03,,0.10,16866.25,16866.54
Archmagus,3069,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/3069,Archmagus,0.01,,0.03,,0.10,16866.25,16866.39
Rogue Mage Andy,7,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/7,Rogue Mage,10412.33,Andy,311.05,,0.10,41.41,10764.89
Bunny Wizard Bernardo,8,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/8,Bunny Wizard,10412.33,Bernardo,311.05,,0.10,41.41,10764.89
Prismatic Magi Braindraind,9,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/9,Prismatic Magi,10412.33,Braindraind,311.05,,0.10,41.41,10764.89
Edge Arcanist Artchick,10,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/10,Edge Arcanist,10412.33,Artchick,311.05,,0.10,41.41,10764.89
Crow Master Claire Sliver,11,https://opensea.io/assets/0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42/11,Crow Master Claire,10412.33,Sliver,311.05,,0.10,41.41,10764.89
